level_number,card_type,count
1,numbers,968
2,numbers,83
3,letters,112
4,letters,18
4,numbers,32
5,shapes,231
6,directions,86
7,colors,109
8,directions,5
8,numbers,8
8,shapes,5
9,colors,13
9,letters,17
9,numbers,10
10,colors,21
10,directions,20
10,letters,18
10,numbers,26
10,shapes,15
11,numbers,10
12,numbers,14
13,numbers,35
14,colors,3
14,letters,1
14,numbers,5
15,letters,11
15,shapes,16
16,numbers,60
17,letters,11
17,numbers,7
17,shapes,10
19,directions,2
19,shapes,1
20,letters,1
21,colors,3
21,directions,5
22,colors,220
23,colors,11
24,colors,34
25,colors,18
26,colors,1
26,letters,1
26,numbers,4
26,shapes,3
27,diagonal,557
28,diagonal,25
28,directions,27
29,colors,1
29,diagonal,1
29,directions,1
29,letters,1
29,numbers,1
29,shapes,1
30,diagonal,5
30,directions,4
31,colors,14
31,letters,16
31,numbers,15
32,colors,1
32,directions,2
33,colors,12
35,colors,3
36,colors,3
42,shapes,1
43,diagonal,2
43,directions,4
44,numbers,6
45,directions,139
46,directions,2
48,directions,2
48,numbers,1
49,directions,6
50,numbers,6
51,directions,1
51,letters,1
51,shapes,1
52,directions,1
53,colors,6
54,directions,1
55,diagonal,1
56,colors,1
63,numbers,1
64,numbers,22
66,directions,1
67,numbers,337
68,colors,6
81,numbers,3
88,directions,4
90,numbers,11
101,directions,6
101,letters,6
101,numbers,2
101,shapes,5
