total_cards,created_at,release_channel,user_id,stars,active_modifiers,passed,time_seconds,game_version,session_id,cards_failed,level_number,end_reason,player_id,mode,stage_name,cards_failed_count,rounds,id,session_doc_id,site_host
1,2026-03-03T21:33:30.732000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,0,[],False,0.57,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,"[{'position': 1, 'hint_type': 'text', 'card_type': 'colors', 'prompt_target': 'Text', 'actual': 'b', 'expected': 'Red'}]",7,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,,1,"[{'passed': True, 'mode': 'stages', 'time_spent': 1.22, 'round_number': 1, 'level_number': 7}, {'passed': False, 'mode': 'stages', 'time_spent': 0.27, 'round_number': 2, 'level_number': 7}]",47UuBJllGRPmPcvUIywT,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
1,2026-03-03T21:44:47.067000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,0,[],False,1.6,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,"[{'position': 1, 'hint_type': 'letter', 'card_type': 'letters', 'prompt_target': 'Letter', 'actual': 'blank', 'expected': 'L'}]",15,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,,1,"[{'passed': False, 'mode': 'stages', 'time_spent': 1.63, 'round_number': 1, 'level_number': 15}]",4GmKU9xgv0wGCvwK36Wl,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
2,2026-03-03T21:32:12.427000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,2,[],True,8.52,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,[],3,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,Stage 3,0,"[{'passed': True, 'mode': 'stages', 'time_spent': 3.5, 'round_number': 1, 'level_number': 3}, {'passed': True, 'mode': 'stages', 'time_spent': 2.77, 'round_number': 2, 'level_number': 3}]",4t83ZuY5lfthuJzFFlhB,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
2,2026-03-03T21:47:30.838000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,0,[],False,1.25,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,"[{'position': 1, 'hint_type': 'background_color', 'card_type': 'numbers', 'prompt_target': 'Background color', 'actual': 'gh', 'expected': 'Green'}, {'position': 2, 'hint_type': 'background_color', 'card_type': 'numbers', 'prompt_target': 'Background color', 'actual': 'n', 'expected': 'Blue'}]",16,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,,2,"[{'passed': False, 'mode': 'stages', 'time_spent': 1.27, 'round_number': 1, 'level_number': 16}]",4ywiulj0rovUMya2glzb,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
1,2026-03-03T21:33:21.732000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,3,[],True,2.46,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,[],7,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,Stage 7,0,"[{'passed': True, 'mode': 'stages', 'time_spent': 1.71, 'round_number': 1, 'level_number': 7}, {'passed': True, 'mode': 'stages', 'time_spent': 1.7, 'round_number': 2, 'level_number': 7}]",59vClJfg1X3NOkiS2nOl,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
2,2026-03-03T21:39:51.075000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,0,[],False,3.76,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,"[{'position': 1, 'hint_type': '+_1', 'card_type': 'numbers', 'prompt_target': '+ 1', 'actual': '6', 'expected': '5'}, {'position': 2, 'hint_type': '-_2', 'card_type': 'numbers', 'prompt_target': '- 2', 'actual': '4', 'expected': '3'}]",13,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,,2,"[{'passed': False, 'mode': 'stages', 'time_spent': 3.78, 'round_number': 1, 'level_number': 13}]",5BYuovn5CPrb3WxHI0wN,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
1,2026-03-03T21:48:33.265000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,0,[],False,1.1,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,"[{'position': 1, 'hint_type': 'background_color', 'card_type': 'numbers', 'prompt_target': 'Background color', 'actual': '8', 'expected': 'Orange'}]",17,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,,1,"[{'passed': False, 'mode': 'stages', 'time_spent': 1.11, 'round_number': 1, 'level_number': 17}]",5hlFBSmiftd5cVxc8Rhf,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
1,2026-03-03T21:45:12.448000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,0,[],False,0.71,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,"[{'position': 1, 'hint_type': 'shape', 'card_type': 'shapes', 'prompt_target': 'Shape', 'actual': 'blank', 'expected': 'Triangle'}]",15,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,,1,"[{'passed': False, 'mode': 'stages', 'time_spent': 0.75, 'round_number': 1, 'level_number': 15}]",6Fp7QSkNc8xKXJcXyFar,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
1,2026-03-03T21:39:06.145000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,0,[],False,1.68,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,"[{'position': 1, 'hint_type': '+_2', 'card_type': 'numbers', 'prompt_target': '+ 2', 'actual': '44', 'expected': '3'}]",12,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,,1,"[{'passed': False, 'mode': 'stages', 'time_spent': 1.7, 'round_number': 1, 'level_number': 12}]",6hdi5qdADmGlT9dl1MIl,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
3,2026-03-03T21:38:18.605000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,3,[],True,3.8,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,[],10,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,Stage 10,0,"[{'passed': True, 'mode': 'stages', 'time_spent': 2.79, 'round_number': 1, 'level_number': 10}]",6yF9QGDCMmvbMMhNn4nM,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
2,2026-03-03T21:44:23.754000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,2,"[""mathOps"", ""mathChance"", ""mathMinCount"", ""mathMaxCount""]",True,9.57,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,[],14,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,Stage 14,0,"[{'passed': True, 'mode': 'stages', 'time_spent': 4.25, 'round_number': 1, 'level_number': 14}, {'passed': True, 'mode': 'stages', 'time_spent': 3.96, 'round_number': 2, 'level_number': 14}]",827L9oR47H2qqRrhhfC6,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
1,2026-03-03T21:33:31.195000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,0,[],False,0.3,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,"[{'position': 1, 'hint_type': 'text', 'card_type': 'colors', 'prompt_target': 'Text', 'actual': 'b', 'expected': 'White'}]",7,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,,1,"[{'passed': False, 'mode': 'stages', 'time_spent': 0.31, 'round_number': 1, 'level_number': 7}]",8FZOhLWUGiZue2Nh9qNv,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
2,2026-03-03T21:47:02.914000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,0,[],False,0.55,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,"[{'position': 1, 'hint_type': 'background_color', 'card_type': 'numbers', 'prompt_target': 'Background color', 'actual': 'p', 'expected': 'Blue'}, {'position': 2, 'hint_type': 'background_color', 'card_type': 'numbers', 'prompt_target': 'Background color', 'actual': 'p', 'expected': 'Orange'}]",16,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,,2,"[{'passed': False, 'mode': 'stages', 'time_spent': 0.58, 'round_number': 1, 'level_number': 16}]",8MLeMxW5QOcCMYoGiS4u,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
1,2026-03-03T21:48:07.062000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,0,[],False,2.93,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,"[{'position': 1, 'hint_type': 'background_color', 'card_type': 'letters', 'prompt_target': 'Background color', 'actual': 'g', 'expected': 'Purple'}]",17,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,,1,"[{'passed': True, 'mode': 'stages', 'time_spent': 1.95, 'round_number': 1, 'level_number': 17}, {'passed': True, 'mode': 'stages', 'time_spent': 2.03, 'round_number': 2, 'level_number': 17}, {'passed': False, 'mode': 'stages', 'time_spent': 0.77, 'round_number': 3, 'level_number': 17}]",8RjPUXLSEo1LO08Snlke,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
2,2026-03-03T21:40:45.036000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,0,[],False,3.0,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,"[{'position': 2, 'hint_type': 'number', 'card_type': 'numbers', 'prompt_target': 'Number', 'actual': '2', 'expected': '3'}]",13,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,,1,"[{'passed': False, 'mode': 'stages', 'time_spent': 3.04, 'round_number': 1, 'level_number': 13}]",8rAWKyfSomaHdt6ZOQ9s,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
1,2026-03-03T21:46:03.144000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,0,[],False,0.61,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,"[{'position': 1, 'hint_type': 'shape', 'card_type': 'shapes', 'prompt_target': 'Shape', 'actual': 's', 'expected': 'Circle'}]",15,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,,1,"[{'passed': False, 'mode': 'stages', 'time_spent': 0.63, 'round_number': 1, 'level_number': 15}]",8sT1GwPU81oC9ndY3vab,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
2,2026-03-03T21:47:13.209000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,0,[],False,0.55,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,"[{'position': 1, 'hint_type': 'background_color', 'card_type': 'numbers', 'prompt_target': 'Background color', 'actual': 'p', 'expected': 'Green'}, {'position': 2, 'hint_type': 'background_color', 'card_type': 'numbers', 'prompt_target': 'Background color', 'actual': 'p', 'expected': 'Blue'}]",16,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,,2,"[{'passed': False, 'mode': 'stages', 'time_spent': 0.59, 'round_number': 1, 'level_number': 16}]",8yP8lpBZuecw2EVDFhWa,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
1,2026-03-03T21:48:43.286000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,0,[],False,2.85,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,"[{'position': 1, 'hint_type': 'letter', 'card_type': 'letters', 'prompt_target': 'Letter', 'actual': 'w', 'expected': 'Q'}]",17,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,,1,"[{'passed': True, 'mode': 'stages', 'time_spent': 2.01, 'round_number': 1, 'level_number': 17}, {'passed': True, 'mode': 'stages', 'time_spent': 1.84, 'round_number': 2, 'level_number': 17}, {'passed': False, 'mode': 'stages', 'time_spent': 0.84, 'round_number': 3, 'level_number': 17}]",91Gues4TQ6pXeqoVrJZy,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
2,2026-03-03T21:44:01.251000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,0,[],False,2.2,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,"[{'position': 2, 'hint_type': 'text', 'card_type': 'colors', 'prompt_target': 'Text', 'actual': 'blank', 'expected': 'Pink'}]",14,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,,1,"[{'passed': False, 'mode': 'stages', 'time_spent': 2.24, 'round_number': 1, 'level_number': 14}]",9NUkRvfTxhHrPwNNrLlv,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
3,2026-03-03T21:36:22.245000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,2,[],True,9.45,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,[],10,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,Stage 10,0,"[{'passed': True, 'mode': 'stages', 'time_spent': 4.99, 'round_number': 1, 'level_number': 10}]",9iYXI4ocpkKgykTuVfbj,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
3,2026-03-03T21:36:49.242000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,0,[],False,4.45,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,"[{'position': 3, 'hint_type': 'shape', 'card_type': 'shapes', 'prompt_target': 'Shape', 'actual': 'blank', 'expected': 'Circle'}]",10,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,,1,"[{'passed': True, 'mode': 'stages', 'time_spent': 3.55, 'round_number': 1, 'level_number': 10}, {'passed': False, 'mode': 'stages', 'time_spent': 1.84, 'round_number': 2, 'level_number': 10}]",BX31MGoufNpFCzBhsM2g,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
3,2026-03-03T21:37:49.377000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,3,[],True,3.6,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,[],10,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,Stage 10,0,"[{'passed': True, 'mode': 'stages', 'time_spent': 2.99, 'round_number': 1, 'level_number': 10}]",BlFkzSO0Ssg2lOPtGFwM,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
2,2026-03-03T21:46:56.290000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,0,[],False,0.55,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,"[{'position': 1, 'hint_type': 'background_color', 'card_type': 'numbers', 'prompt_target': 'Background color', 'actual': 'p', 'expected': 'Blue'}]",16,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,,1,"[{'passed': False, 'mode': 'stages', 'time_spent': 0.56, 'round_number': 1, 'level_number': 16}]",CFOPyLT2BAcR860wtwbi,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
2,2026-03-03T21:41:58.956000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,0,[],False,1.95,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,"[{'position': 1, 'hint_type': '*_3', 'card_type': 'numbers', 'prompt_target': '* 3', 'actual': 'blank', 'expected': '21'}, {'position': 2, 'hint_type': '-_1', 'card_type': 'numbers', 'prompt_target': '- 1', 'actual': 'blank', 'expected': '5'}]",13,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,,2,"[{'passed': False, 'mode': 'stages', 'time_spent': 1.97, 'round_number': 1, 'level_number': 13}]",CTCbQt9jhk2L0HYZZIxJ,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
3,2026-03-03T21:38:02.202000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,0,[],False,1.6,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,"[{'position': 3, 'hint_type': 'number', 'card_type': 'numbers', 'prompt_target': 'Number', 'actual': '1', 'expected': '2'}]",10,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,,1,"[{'passed': False, 'mode': 'stages', 'time_spent': 1.64, 'round_number': 1, 'level_number': 10}]",CZ3fgTC07HfdC23N0aYQ,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
1,2026-03-03T21:33:27.463000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,0,[],False,0.61,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,"[{'position': 1, 'hint_type': 'text', 'card_type': 'colors', 'prompt_target': 'Text', 'actual': 'b', 'expected': 'Red'}]",7,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,,1,"[{'passed': False, 'mode': 'stages', 'time_spent': 0.63, 'round_number': 1, 'level_number': 7}]",DAF7Xpu8ubPAGtFfX2Ue,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
2,2026-03-03T21:47:10.832000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,0,[],False,0.56,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,"[{'position': 1, 'hint_type': 'background_color', 'card_type': 'numbers', 'prompt_target': 'Background color', 'actual': 'p', 'expected': 'Red'}]",16,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,,1,"[{'passed': False, 'mode': 'stages', 'time_spent': 0.59, 'round_number': 1, 'level_number': 16}]",DBfBvUQySDAXJenlpQd3,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
2,2026-03-03T21:44:04.841000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,0,[],False,3.4,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,"[{'position': 2, 'hint_type': 'letter', 'card_type': 'letters', 'prompt_target': 'Letter', 'actual': 'g', 'expected': 'F'}]",14,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,,1,"[{'passed': False, 'mode': 'stages', 'time_spent': 3.41, 'round_number': 1, 'level_number': 14}]",EKTuayqosNiwKjSUPXgq,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
2,2026-03-03T21:42:09.123000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,0,[],False,7.98,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,"[{'position': 2, 'hint_type': 'number', 'card_type': 'numbers', 'prompt_target': 'Number', 'actual': ']2', 'expected': '2'}]",13,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,,1,"[{'passed': True, 'mode': 'stages', 'time_spent': 3.92, 'round_number': 1, 'level_number': 13}, {'passed': True, 'mode': 'stages', 'time_spent': 4.01, 'round_number': 2, 'level_number': 13}, {'passed': False, 'mode': 'stages', 'time_spent': 1.86, 'round_number': 3, 'level_number': 13}]",EPb3CkYq35sVna4KziKy,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
2,2026-03-03T21:46:53.638000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,0,[],False,0.5,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,"[{'position': 1, 'hint_type': 'background_color', 'card_type': 'numbers', 'prompt_target': 'Background color', 'actual': 'p', 'expected': 'Blue'}, {'position': 2, 'hint_type': 'background_color', 'card_type': 'numbers', 'prompt_target': 'Background color', 'actual': 'p', 'expected': 'Orange'}]",16,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,,2,"[{'passed': False, 'mode': 'stages', 'time_spent': 0.54, 'round_number': 1, 'level_number': 16}]",EQ5R1KV4p0ak0IMnkmjI,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
1,2026-03-03T21:48:18.566000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,0,[],False,2.55,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,"[{'position': 1, 'hint_type': 'background_color', 'card_type': 'letters', 'prompt_target': 'Background color', 'actual': 'c', 'expected': 'Orange'}]",17,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,,1,"[{'passed': True, 'mode': 'stages', 'time_spent': 1.66, 'round_number': 1, 'level_number': 17}, {'passed': True, 'mode': 'stages', 'time_spent': 1.89, 'round_number': 2, 'level_number': 17}, {'passed': False, 'mode': 'stages', 'time_spent': 0.81, 'round_number': 3, 'level_number': 17}]",EfR7ElpjPTGEqfQpsY6T,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
3,2026-03-03T21:35:59.427000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,0,[],False,4.2,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,"[{'position': 3, 'hint_type': 'shape', 'card_type': 'shapes', 'prompt_target': 'Shape', 'actual': 'c', 'expected': 'Triangle'}]",10,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,,1,"[{'passed': False, 'mode': 'stages', 'time_spent': 4.2, 'round_number': 1, 'level_number': 10}]",F21Vc3QPmaofRRpKRiqR,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
