total_cards,created_at,release_channel,user_id,stars,active_modifiers,passed,time_seconds,game_version,session_id,cards_failed,level_number,end_reason,player_id,mode,stage_name,cards_failed_count,rounds,id,session_doc_id,site_host
1,2026-03-03T21:48:01.657000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,0,[],False,1.86,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,"[{'position': 1, 'hint_type': 'shape', 'card_type': 'shapes', 'prompt_target': 'Shape', 'actual': 'r', 'expected': 'Circle'}]",17,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,,1,"[{'passed': False, 'mode': 'stages', 'time_spent': 1.88, 'round_number': 1, 'level_number': 17}]",0N8Em7nw9KmUFGXl35tA,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
2,2026-03-03T21:46:38.929000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,2,"[""backgroundColor"", ""backgroundColorChance"", ""backgroundPromptChance""]",True,7.33,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,[],16,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,Stage 16,0,"[{'passed': True, 'mode': 'stages', 'time_spent': 4.46, 'round_number': 1, 'level_number': 16}, {'passed': True, 'mode': 'stages', 'time_spent': 3.12, 'round_number': 2, 'level_number': 16}]",0Uy8Em2BPmrpQtzpC0g5,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
2,2026-03-03T21:47:14.002000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,0,[],False,0.56,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,"[{'position': 1, 'hint_type': 'background_color', 'card_type': 'numbers', 'prompt_target': 'Background color', 'actual': 'p', 'expected': 'Green'}]",16,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,,1,"[{'passed': False, 'mode': 'stages', 'time_spent': 0.6, 'round_number': 1, 'level_number': 16}]",0ovGgxT4qDLvWlL9y470,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
2,2026-03-03T21:42:16.880000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,0,[],False,6.25,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,"[{'position': 1, 'hint_type': '-_3', 'card_type': 'numbers', 'prompt_target': '- 3', 'actual': '4', 'expected': '3'}, {'position': 2, 'hint_type': '-_2', 'card_type': 'numbers', 'prompt_target': '- 2', 'actual': '2', 'expected': '0'}]",13,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,,2,"[{'passed': True, 'mode': 'stages', 'time_spent': 4.09, 'round_number': 1, 'level_number': 13}, {'passed': False, 'mode': 'stages', 'time_spent': 3.06, 'round_number': 2, 'level_number': 13}]",1Fjdw6w5LDxdsQAaOsiu,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
2,2026-03-03T21:47:38.645000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,0,[],False,1.25,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,"[{'position': 2, 'hint_type': 'background_color', 'card_type': 'numbers', 'prompt_target': 'Background color', 'actual': 'r', 'expected': 'Pink'}]",16,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,,1,"[{'passed': False, 'mode': 'stages', 'time_spent': 1.29, 'round_number': 1, 'level_number': 16}]",1axRc6Y9HMr42RLLFmki,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
1,2026-03-03T21:29:27.333000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,0,[],False,1.05,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,"[{'position': 1, 'hint_type': 'number', 'card_type': 'numbers', 'prompt_target': 'Number', 'actual': '8', 'expected': '9'}]",1,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,,1,"[{'passed': False, 'mode': 'stages', 'time_spent': 1.08, 'round_number': 1, 'level_number': 1}]",1dCP6hi7vvVMczSYYQCq,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
2,2026-03-03T21:46:47.876000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,3,"[""backgroundColor"", ""backgroundColorChance"", ""backgroundPromptChance""]",True,4.46,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,[],16,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,Stage 16,0,"[{'passed': True, 'mode': 'stages', 'time_spent': 2.52, 'round_number': 1, 'level_number': 16}, {'passed': True, 'mode': 'stages', 'time_spent': 2.23, 'round_number': 2, 'level_number': 16}]",1zEDZQNp3xN2GlNe5mYO,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
2,2026-03-03T21:35:12.622000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,2,[],True,5.72,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,[],9,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,Stage 9,0,"[{'passed': True, 'mode': 'stages', 'time_spent': 2.15, 'round_number': 1, 'level_number': 9}, {'passed': True, 'mode': 'stages', 'time_spent': 3.17, 'round_number': 2, 'level_number': 9}]",243LOLsCNMezjbK7MIKp,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
2,2026-03-03T21:47:05.333000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,0,[],False,0.61,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,"[{'position': 2, 'hint_type': 'background_color', 'card_type': 'numbers', 'prompt_target': 'Background color', 'actual': 'p', 'expected': 'Blue'}]",16,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,,1,"[{'passed': False, 'mode': 'stages', 'time_spent': 0.61, 'round_number': 1, 'level_number': 16}]",2zhHbSbCigCu8XKGzbYr,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
1,2026-03-03T21:45:41.372000+00:00,custom,laduhza9OwPwalkPKpxhRLGFgS53,0,[],False,0.71,2026.03.0,0fdbd822-aec3-4dba-a739-bb45ff58c4af,"[{'position': 1, 'hint_type': 'letter', 'card_type': 'letters', 'prompt_target': 'Letter', 'actual': 'wq', 'expected': 'W'}]",15,level_end,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,stages,,1,"[{'passed': False, 'mode': 'stages', 'time_spent': 0.75, 'round_number': 1, 'level_number': 15}]",3r3uPQXOy6mdmcxREGdE,0MvsgLkbyitVn3F5nO60,serve.gamejolt.net
