feature,pearson_corr_with_retention,pearson_ci_low_95,pearson_ci_high_95,n
l1_attempts_before_first_completion,0.5549624140171824,-0.28949179488465904,0.8770622358840775,26
l2_attempts_before_first_completion,0.426242713983064,-0.054436950463315,0.8551627187858124,19
l2_failed_first_attempt,0.29709663192877833,-0.20284590188076237,0.6256166164327785,19
l2_first_attempt_succeeded,-0.2970966319287782,-0.6171857092960028,0.14946804756938564,19
l1_failed_first_attempt,0.27335157801205284,-0.30364227263517035,0.6621571826095274,26
l1_first_attempt_succeeded,-0.2733515780120528,-0.6687651477248945,0.2891926796482942,26
l2_first_attempt_time,-0.19577350696298246,-0.45280753728203427,0.20227865287314117,19
l1_first_attempt_time,-0.11126172874764659,-0.42784122488756576,0.3881441530471842,26
l3_first_attempt_time,-0.08189754456992854,-0.36728787418339914,0.2811679133496196,17
l3_first_attempt_succeeded,0.02431473908319118,-0.3535080150624924,0.20198602414610886,17
l3_failed_first_attempt,-0.024314739083191164,-0.21637279976719034,0.28010702514210123,17
l3_attempts_before_first_completion,0.002528649697343906,-0.1834296909514789,0.3853061724740317,17
