feature,pearson_corr_with_retention,pearson_ci_low_95,pearson_ci_high_95,n
l1_first_attempt_time,0.945595022062074,-0.3837192139947858,0.9888279588179064,20
l3_first_attempt_succeeded,0.48314056080361956,0.14927564078583105,0.8124438379449268,13
l3_attempts_before_first_completion,-0.4831405608036194,-0.819574905820033,-0.159729338227601,13
l3_failed_first_attempt,-0.4831405608036194,-0.8125289050032134,-0.14013266122230383,13
l3_first_attempt_time,-0.30697456044792965,-0.6867401769456406,0.23879501420351226,13
l1_failed_first_attempt,0.28971902737425864,-0.24706753786926341,0.5869399054024356,20
l1_first_attempt_succeeded,-0.28971902737425864,-0.5709211430505843,0.22258764535987652,20
l2_first_attempt_succeeded,0.22184253222270484,-0.24799194683610987,0.623168646925989,18
l2_failed_first_attempt,-0.22184253222270484,-0.6162169483801924,0.23396043016617327,18
l1_attempts_before_first_completion,0.0789117395804799,-0.16945603206068277,0.4314179725878695,20
l2_first_attempt_time,0.06364698187779116,-0.3536914388995899,0.45739047288334206,18
l2_attempts_before_first_completion,0.04576409406980865,-0.5439093964525625,0.5371548565396931,18
