player_id_norm,retention_seconds,l1_attempts_before_first_completion,l1_failed_first_attempt,l1_first_attempt_succeeded,l1_first_attempt_time,l2_attempts_before_first_completion,l2_failed_first_attempt,l2_first_attempt_succeeded,l2_first_attempt_time,l3_attempts_before_first_completion,l3_failed_first_attempt,l3_first_attempt_succeeded,l3_first_attempt_time
993375df-ad41-40c5-b454-967d437c1fe8,101.48,0.0,False,True,10.45,0.0,False,True,7.88,0.0,False,True,6.89
9a9be149-d07a-4cb1-af2c-d4615f62fe08,3.36,1.0,True,False,3.36,0.0,,,,0.0,,,
a64ee7b8-3db1-4788-8bc8-ff43fd4d0f9f,35.93,1.0,True,False,35.93,0.0,,,,0.0,,,
add54316-20e5-4bcb-ba20-c647cb4f4b5e,0.0,0.0,,,,0.0,,,,0.0,,,
b02d116f-6c88-4fec-9d31-8ecc44757745,122.46,0.0,False,True,32.86,1.0,True,False,5.26,4.0,True,False,6.25
b71b4507-c5a5-4848-8bd2-07ab06dffd6c,0.0,0.0,,,,0.0,,,,0.0,,,
c02b5b38-3c74-407a-a22c-7399e81abab0,245.39000000000001,0.0,False,True,11.18,0.0,False,True,4.46,0.0,False,True,3.57
c0a162c8-a010-464f-b9df-3d1e5900f905,505.83,0.0,False,True,13.11,0.0,False,True,11.83,0.0,False,True,16.61
c0e19974-91e9-4fc4-b62a-6f8c6d278ee8,0.0,0.0,,,,0.0,,,,0.0,,,
cc57e7c4-f030-4fc5-97a3-69b1ff839fe5,38.29,0.0,False,True,14.97,1.0,True,False,1.6,1.0,True,False,14.13
cc69321b-5fa9-4728-ba6d-cb73c5fc254d,47.870000000000005,3.0,True,False,34.1,0.0,,,,0.0,,,
d2f127d4-9e22-4af1-bfd4-fc89fd422f85,212.91,8.0,True,False,9.14,1.0,True,False,35.15,0.0,,,
d61c002a-b1d6-4c3e-a4f8-75e920e943a5,42.1,0.0,False,True,42.1,0.0,,,,0.0,,,
d6affa50-f8db-412a-b4e8-078af35332d3,30.74,1.0,True,False,30.74,0.0,,,,0.0,,,
d81125c8-890c-41c6-96de-73498ca1c66e,50.11,3.0,True,False,1.49,0.0,,,,0.0,,,
dfe20491-7f2d-49b0-b6ce-06ea8f905622,56.25,1.0,True,False,2.15,0.0,False,True,4.27,3.0,True,False,1.75
e0fc445c-421f-436d-9c30-101e55886380,97.85,1.0,True,False,17.05,0.0,False,True,10.23,2.0,True,False,7.9
e27d8a1e-c9ee-430e-ad60-cef27708103b,0.0,0.0,,,,0.0,,,,0.0,,,
e3b59f68-6252-4fa9-b38c-e095b0839eb7,1936.85,0.0,False,True,6.41,1.0,True,False,3.57,4.0,True,False,35.0
e493e865-ed84-412b-ab4a-8aa9917906e0,79.5,1.0,True,False,19.1,0.0,False,True,6.91,0.0,,,
e6e644a5-1c04-4386-9147-6ba9a9015c06,0.0,0.0,,,,0.0,,,,0.0,,,
e9430dbd-a0ca-415a-8750-b50246be8fa4,69.14,1.0,True,False,11.4,0.0,False,True,24.27,1.0,True,False,8.65
ea4a3ff5-b892-4fa6-b7d6-e62279cd242d,0.0,0.0,,,,0.0,,,,0.0,,,
ea76136b-fccd-4151-a1b4-b3aa54f70c28,154.85,0.0,False,True,9.39,0.0,False,True,10.72,0.0,False,True,15.18
eb0a8d11-aed0-4930-bc11-ffb744e9a312,51.11,0.0,False,True,14.19,0.0,False,True,11.64,0.0,False,True,6.11
ebc1de91-0c2b-44b2-9bfd-a0023836f27d,3.45,1.0,True,False,3.45,0.0,,,,0.0,,,
ee687cbc-a399-4fc9-afc9-1a362231b562,187.12,0.0,False,True,6.06,1.0,True,False,2.28,1.0,True,False,4.79
efc50570-43e0-4eb4-a1b6-a1e620ddf81e,0.0,0.0,,,,0.0,,,,0.0,,,
f0a8c189-0c4e-455c-acd3-f3d05700cc10,0.0,0.0,,,,0.0,,,,0.0,,,
f0ae6c6f-e6dc-467f-bb45-4c85e470f528,96.02,0.0,False,True,16.17,1.0,True,False,6.53,4.0,True,False,5.35
f583c242-7379-425d-a687-bafaeae57288,77.99,0.0,False,True,16.06,0.0,False,True,13.08,3.0,True,False,1.8
id-1773100917089-9d9303ebd7e868,35.0,1.0,True,False,35.0,0.0,,,,0.0,,,
