player_id_norm,adaptive_group,group_assigned_ts,sessions_after_assignment,returned_within_1d,returned_within_3d,returned_within_7d
3deb0762-2c72-4f4f-b2d9-8f91f4b9c4c4,B,2026-03-10 00:02:41.661000+00:00,0,False,False,False
832bf59e-5979-4694-886e-4774aac96f66,B,2026-03-08 09:24:04.437000+00:00,1,True,True,True
1780c605-adb4-43a5-bd20-09e38f9e8d00,B,2026-03-08 09:24:55.164000+00:00,0,False,False,False
7b41b0fc-1e8d-4bd5-a320-f6fe82978629,B,2026-03-08 12:24:47.141000+00:00,17,True,True,True
38ba9e91-153e-45fd-b335-956d21d5ffa5,B,2026-03-08 09:47:32.776000+00:00,0,False,False,False
22594ae3-35a3-4692-9328-27d50982031b,B,2026-03-08 10:09:45.659000+00:00,0,False,False,False
76fed8b0-f24a-436a-8162-e0feff0decb9,B,2026-03-08 10:21:41.754000+00:00,0,False,False,False
e0fc445c-421f-436d-9c30-101e55886380,B,2026-03-08 10:49:22.218000+00:00,0,False,False,False
a64ee7b8-3db1-4788-8bc8-ff43fd4d0f9f,B,2026-03-08 12:56:41.143000+00:00,0,False,False,False
7a6d05e3-b79d-413f-ba8e-04c9123dc9a0,A,2026-03-08 16:07:49.480000+00:00,0,False,False,False
086c11a1-5d07-48ea-aa10-4cb3c0cafa9f,B,2026-03-08 16:33:53.370000+00:00,0,False,False,False
1c69ac44-4198-4390-9ad7-b4c25014353f,B,2026-03-08 19:21:58.367000+00:00,0,False,False,False
905cfd91-aca1-4150-8646-13f102a3eb5e,A,2026-03-09 03:05:28.318000+00:00,0,False,False,False
7fd064f6-8900-4f27-948b-f08e9ea412cb,B,2026-03-09 06:08:27.793000+00:00,0,False,False,False
dfe20491-7f2d-49b0-b6ce-06ea8f905622,B,2026-03-09 07:24:17.865000+00:00,0,False,False,False
b02d116f-6c88-4fec-9d31-8ecc44757745,B,2026-03-09 07:33:40.289000+00:00,0,False,False,False
7d3e3a17-cea4-4c59-b3fe-15150b0f34f0,B,2026-03-09 12:19:10.801000+00:00,0,False,False,False
92ea7745-0461-4a3c-8a8a-14b7f8173389,B,2026-03-09 12:36:17.125000+00:00,0,False,False,False
f0ae6c6f-e6dc-467f-bb45-4c85e470f528,B,2026-03-09 16:27:21.211000+00:00,0,False,False,False
cc69321b-5fa9-4728-ba6d-cb73c5fc254d,B,2026-03-09 16:38:28.612000+00:00,0,False,False,False
e3b59f68-6252-4fa9-b38c-e095b0839eb7,B,2026-03-09 18:25:45.339000+00:00,10,True,True,True
8185cb13-fc23-4d12-a05b-0e1738a3052f,A,2026-03-09 18:39:56.532000+00:00,0,False,False,False
f583c242-7379-425d-a687-bafaeae57288,A,2026-03-09 19:52:22.315000+00:00,0,False,False,False
