player_id,highest_level_completed,levels_completed_count,total_playtime_seconds
11f69d93-6099-455f-abfd-a99ca742b59f,28,28,465.34
173ce1d1-4772-4219-aad3-3d7fb45b0a8e,9,9,89.45
19e62b5e-8283-42c0-ad54-9f0cd265e162,7,7,59.760000000000005
1baa6b31-4819-4fe1-91a7-3bf8e145de7f,101,60,1750.33
233287c4-2f3c-4973-9584-3a4045947568,0,0,0.0
2c1abc5d-3e89-4da2-aacf-f07dd8c6a514,3,2,19.08
3deb0762-2c72-4f4f-b2d9-8f91f4b9c4c4,5,4,16.65
3e81b174-3199-4d1a-bd59-525263eb97b2,0,0,0.0
4282b745-8061-42c3-b298-1648bbdddb98,0,0,12.3
46205f6d-00a0-4c6d-8654-e8c6e899bec3,1,1,3.14
46fb6fad-619a-49d8-8606-b7a3384e2d01,1,1,14.21
474a59ca-cf31-4d54-8e0a-549e6e9d43ec,0,0,0.0
4a5da6f3-d38d-4c4f-8b08-13160182e961,0,0,0.0
4d159bde-fd10-4e61-b657-1a2d922fcbe7,23,23,351.17
4f52ba37-69cc-486d-969c-2c0e91b98d2e,0,0,0.0
57a0af4c-4fdd-47c6-8f47-1e04d3c6e529,67,28,1633.03
6bb15770-3531-4cfe-b65c-b0c493889dae,67,33,1357.85
6d182d6b-b758-4477-8b46-cee111aa6f26,1,1,13.28
73252c29-8ec8-4f2f-87ef-8c48b7c90a9b,0,0,0.0
8333f2c0-3b3e-4c22-a667-00377e0ae75e,4,4,84.57
834b3d23-7f62-46f6-8fb0-3d257225cecb,1,1,22.82
8d7144a3-ed21-4813-a713-b3a87b6db744,50,49,532.72
9063bee5-dc83-472a-9fcd-af464d8e558e,21,13,320.98
9105869e-58af-4d91-af6d-97a978f6d17b,2,2,185.27
941197e5-d02e-4e95-8b4b-ee0663cb938b,4,4,49.650000000000006
9f12f2ac-4cce-455d-babc-9f27ea32b2a4,13,13,132.03
a1f59de7-3528-441f-a18c-897c68681894,1,1,79.5
ba4c0a5f-4ef1-4b4b-96f3-f1b58e87f012,4,4,270.1
c22c1fa0-9c58-406b-9b06-ece301d62b4f,0,0,0.0
c3942ac4-c075-4a2d-b9f0-31f146a94d55,3,3,135.34
cfc8ae67-c748-498d-bb20-d4345b6f8893,0,0,61.0
db270b62-178f-47c4-8cfa-3ac38d7e7e40,11,8,488.16
e650bd39-6d90-414e-b03d-8b9f64f6e51c,1,1,25.55
ea76136b-fccd-4151-a1b4-b3aa54f70c28,0,0,60.01
eb3777d7-d723-4990-a9ec-28a450518035,0,0,0.0
f262c6d0-a799-451c-9daa-f56f7f857801,0,0,0.0
id-1772570177848-66309bf8e036d,0,0,0.0
