timezone,created_at,last_event_type,release_channel,user_id,page_path,game_version,started_at,session_elapsed_seconds,quit_reason,end_reason,session_id,site_host,quit_inferred,last_activity_at,player_id,ip_address,user_agent,last_level_completed,ended_at,session_state,total_playtime_seconds,updated_at,current_level_started_at,language,current_level_number,id
America/Los_Angeles,2026-03-03T22:10:48.667000+00:00,before_unload,custom,laduhza9OwPwalkPKpxhRLGFgS53,"/cc87fb479a7a9f3cfedfb2a963d34258c30c58e8039d1d05200d953a50076018,1772662247,7/data/games/16/237/1054487/files/69a74a815a295/index.html",2026.03.0,2026-03-03T22:10:48.667000+00:00,,,,553235e5-e4e5-4fb9-8d02-181312438423,serve.gamejolt.net,False,2026-03-03T22:11:38.536000+00:00,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,205.175.106.149,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",0.0,,active,31.0,2026-03-03T22:11:38.536000+00:00,,en-US,,TsSOqVIXY8PbFZJfsmye
Asia/Calcutta,2026-03-04T19:11:25.980000+00:00,quit_reason,custom,BZMUJPF7aeTkRn3Gs0powiYhOn63,"/97481e53ff601bcad2851aa6d29131a6ea0c64b4e3b91f951c2bea925d5253e9,1772737877,7/data/games/16/237/1054487/files/69a74a815a295/index.html",2026.03.0,2026-03-04T19:11:25.980000+00:00,1602.93,,beforeunload,4e88defb-714c-4edc-b472-1e3f631c3592,serve.gamejolt.net,False,2026-03-04T19:38:05.878000+00:00,8d7144a3-ed21-4813-a713-b3a87b6db744,152.58.16.47,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",50.0,2026-03-04T19:38:05.926000+00:00,ended,1152.79,2026-03-04T19:38:05.926000+00:00,2026-03-04T19:37:51.583000+00:00,en-US,,VEuut30Cg8HA5xFS0iQE
America/Los_Angeles,2026-03-04T07:28:03.455000+00:00,quit_reason,custom,eqogggymrxWbhez2ocdnX0iaYZx1,"/5827986e4de23546223bac2c99733607ccdafb7994c4f322b023a5b5bde09dce,1772695681,7/data/games/16/237/1054487/files/69a74a815a295/index.html",2026.03.0,2026-03-04T07:28:03.455000+00:00,228.84,,beforeunload,4f0a45ca-3eef-4b30-879e-fca0ec87ee96,serve.gamejolt.net,False,2026-03-04T07:31:51.170000+00:00,6bb15770-3531-4cfe-b65c-b0c493889dae,97.126.39.127,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",27.0,2026-03-04T07:31:51.234000+00:00,ended,228.84,2026-03-04T07:31:51.234000+00:00,2026-03-04T07:31:48.627000+00:00,en-US,,WGHBGsHSKC5OyMfAN8GM
America/Los_Angeles,2026-03-03T20:42:59.221000+00:00,before_unload,custom,laduhza9OwPwalkPKpxhRLGFgS53,"/7012f81a486d58c5665eab14d32d9b78f48b34f5cb95833a6d54706c04414b1f,1772656977,7/data/games/16/237/1054487/files/69a7457cf250f/index.html",2026.03.0,2026-03-03T20:42:59.221000+00:00,,inactivity_timeout,,1dbebc04-8a25-4f19-a182-83c20341079b,serve.gamejolt.net,True,2026-03-03T20:55:01.135000+00:00,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,205.175.106.149,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",0.0,,active,63.94,2026-03-03T20:55:01.135000+00:00,,en-US,,YvPPYWMu2gxqjz4EUDXV
America/New_York,2026-03-04T05:44:08.622000+00:00,quit_reason,custom,1xTOI5FGRjYZPhkUz3Z2ILTmAME3,"/dbd9c2f510b07f833d472a8d21b235df76561db7db6e2efb477add371c3b3676,1772689446,7/data/games/16/237/1054487/files/69a74a815a295/index.html",2026.03.0,2026-03-04T05:44:08.622000+00:00,551.92,,beforeunload,3115808f-f2c4-47c8-801d-d53bcb4779a8,serve.gamejolt.net,False,2026-03-04T05:53:18.947000+00:00,ba4c0a5f-4ef1-4b4b-96f3-f1b58e87f012,97.135.46.76,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:148.0) Gecko/20100101 Firefox/148.0,4.0,2026-03-04T05:53:18.981000+00:00,ended,551.92,2026-03-04T05:53:18.981000+00:00,2026-03-04T05:53:02.349000+00:00,en-US,,ZDVsX4WDB2tcM9lzfPGj
America/Los_Angeles,2026-03-04T22:06:42.147000+00:00,quit_reason,custom,rqRsF0b3Age70UcB5ynDW2WOOpr1,"/ebec236347fcc18c5b5198ab4aa7d91da31369576c68a5974506c1794f4f0125,1772748400,7/data/games/16/237/1054487/files/69a74a815a295/index.html",2026.03.0,2026-03-04T22:06:42.147000+00:00,,inactivity_timeout,,a3280fa2-833a-4aea-8cd7-85f1527779f6,serve.gamejolt.net,True,2026-03-04T22:10:33.392000+00:00,834b3d23-7f62-46f6-8fb0-3d257225cecb,205.175.106.239,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",0.0,,active,112.33,2026-03-04T22:20:14.390000+00:00,,en-US,,aL19j1zNT1EUiefMfPA2
America/Vancouver,2026-03-04T04:52:51.570000+00:00,quit_reason,custom,aV7KgpV2ufZvxVNigHK1ur0USrl2,"/88dc5639a9d78f6dd24ef9c40f7c5c7a670470e3577fe061c06bd830d2d01178,1772686368,7/data/games/16/237/1054487/files/69a74a815a295/index.html",2026.03.0,2026-03-04T04:52:51.570000+00:00,36.7,,beforeunload,6eda6216-a68a-463a-a050-324ce93a3871,serve.gamejolt.net,False,2026-03-04T04:53:26.396000+00:00,46fb6fad-619a-49d8-8606-b7a3384e2d01,209.121.229.148,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",1.0,2026-03-04T04:53:26.461000+00:00,ended,36.7,2026-03-04T04:53:26.461000+00:00,2026-03-04T04:53:20.477000+00:00,en-US,,afdVCdNLMX29gvfODjsP
Asia/Calcutta,2026-03-04T19:20:02.400000+00:00,quit_reason,custom,G1upS7YLx5QksewKgGRgfUNHnjQ2,"/e7111026f33ba96199f92be765a0fe22d0514d66a2d75c8641854f3e8d356b17,1772738396,7/data/games/16/237/1054487/files/69a74a815a295/index.html",2026.03.0,2026-03-04T19:20:02.400000+00:00,,inactivity_timeout,,a3c8d5d1-27de-410a-9d18-bfb7f47692f1,serve.gamejolt.net,True,2026-03-04T19:39:49.950000+00:00,11f69d93-6099-455f-abfd-a99ca742b59f,103.197.74.62,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",28.0,,active,1070.21,2026-03-04T20:49:39.546000+00:00,2026-03-04T19:36:31.670000+00:00,en-US,,ayPSmV7byrBI6dTCTjRC
America/Los_Angeles,2026-03-03T20:49:08.259000+00:00,before_unload,custom,laduhza9OwPwalkPKpxhRLGFgS53,"/85b3d6640a7a8f2ee0447542fda3f5cf7f0d09b51625b1adafec09628b6ee40b,1772657347,7/data/games/16/237/1054487/files/69a74919a2fdb/index.html",2026.03.0,2026-03-03T20:49:08.259000+00:00,,inactivity_timeout,,a057bad6-37ee-453e-b3f7-71c64b83f683,serve.gamejolt.net,True,2026-03-03T20:55:00.290000+00:00,1baa6b31-4819-4fe1-91a7-3bf8e145de7f,205.175.106.149,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",0.0,,active,164.94,2026-03-03T20:55:00.290000+00:00,,en-US,,ddp4rZgxm5CC3bVx5L0F
America/Vancouver,2026-03-04T07:56:04.234000+00:00,window_blur,custom,pfxrYG6g5JbnMD4AYhsqTxh1oad2,"/e460dbdf2dc32259d1ab03d52f3497a0b33f8686fa637e7aac0ae05f82dcb42e,1772697361,7/data/games/16/237/1054487/files/69a74a815a295/index.html",2026.03.0,2026-03-04T07:56:04.234000+00:00,,inactivity_timeout,,960e34e6-78f2-4dda-8bdf-9082e9e33171,serve.gamejolt.net,True,2026-03-04T19:55:54.838000+00:00,9063bee5-dc83-472a-9fcd-af464d8e558e,98.232.34.224,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:148.0) Gecko/20100101 Firefox/148.0,21.0,,active,1464.35,2026-03-04T20:04:04.479000+00:00,2026-03-04T08:19:42.888000+00:00,en-US,,dhvywbKEaXgZVrSOUHOF
